x;y;causa;data
375,034897;114,87500;accident;1998-07-09
155,034883;154,87498;intentional;1998-07-09
354,874984;234,87499;accident;1998-07-09
204,914968;304,87501;accident;1998-07-09
195,034907;214,87502;accident;1998-07-09
324,874986;144,87500;other;1998-07-13
115,074873; 94,87499;accident;1998-07-13
 94,874986; 84,87500;other;1998-07-13
124,874984;124,87498;intentional;1998-07-13
174,874995;334,87497;other;1998-07-13
214,875019;334,87497;intentional;1998-07-13
 94,914961;264,87499;intentional;1998-07-13
 94,874986;254,87500;intentional;1998-07-13
 84,914975;244,87502;accident;1998-07-13
104,914987;134,87501;other;1998-07-14
 84,875000;174,87499;accident;1998-07-14
264,874990;284,87500;other;1998-07-14
194,938967;304,87501;intentional;1998-07-15
 54,914977;254,87500;intentional;1998-07-15
 94,954936;264,87499;other;1998-07-15
184,874981;224,87501;accident;1998-07-15
184,914956;224,87501;accident;1998-07-16
154,874983;174,87499;accident;1998-07-16
104,954962;134,87501;intentional;1998-07-17
354,874984;224,87501;accident;1998-07-17
294,914963;204,87499;accident;1998-07-17
 24,890993;234,87499;accident;1998-07-17
194,954957;234,87499;accident;1998-07-17
174,874995;124,87498;other;1998-07-18
314,875000;194,87501;accident;1998-07-18
314,914975;194,87501;accident;1998-07-18
 24,875003;224,87501;accident;1998-07-18
 24,894991;234,87499;accident;1998-07-18
134,875010;254,87500;accident;1998-07-18
304,875014;124,87498;accident;1998-07-19
294,874988; 84,87500;other;1998-07-19
234,874991;254,87500;accident;1998-07-19
225,154830;184,87498;accident;1998-07-19
234,874991;304,87501;other;1998-07-19
204,914968;194,87501;accident;1998-07-19
 64,874988;204,87499;intentional;1998-07-19
194,954957;174,87499;intentional;1998-07-20
204,874993;274,87502;accident;1998-07-20
224,914980;324,87499;accident;1998-07-20
124,914959;224,87501;other;1998-07-20
104,875012;254,87500;accident;1998-07-20
 54,875002;244,87502;accident;1998-07-20
 64,914963;244,87502;accident;1998-07-20
 84,954950;244,87502;other;1998-07-20
 94,914961;254,87500;accident;1998-07-20
154,874983;154,87498;intentional;1998-07-22
324,874986;194,87501;accident;1998-07-22
214,875019;324,87499;accident;1998-07-22
 44,899001;104,87501;intentional;1998-07-23
264,914965;204,87499;other;1998-07-23
274,875016;174,87499;accident;1998-07-23
324,874986;184,87498;accident;1998-07-23
234,914966;304,87501;other;1998-07-23
224,875005;274,87502;intentional;1998-07-23
144,874997;214,87502;accident;1998-07-23
134,875010;204,87499;accident;1998-07-23
 64,954938;244,87502;accident;1998-07-23
 74,914989;214,87502;accident;1998-07-23
284,878999;184,87498;accident;1998-07-24
214,875019;314,87500;accident;1998-07-24
214,914994;324,87499;other;1998-07-24
154,954933;224,87501;accident;1998-07-24
 94,954936;254,87500;other;1998-07-24
 94,994911;254,87500;accident;1998-07-24
 44,875016;224,87501;accident;1998-07-24
114,874998; 64,87499;intentional;1998-07-25
184,874981;104,87501;other;1998-07-25
134,914985;244,87502;accident;1998-07-25
 95,034886;254,87500;intentional;1998-07-25
194,875007;214,87502;accident;1998-07-25
 74,875014;234,87499;accident;1998-07-25
 10,939958;237,52601;accident;1998-07-25
 74,914989;234,87499;accident;1998-07-25
 54,914977;244,87502;accident;1998-07-25
104,994937;134,87501;other;1998-07-26
284,914977;264,87499;accident;1998-07-26
174,914970;334,87497;accident;1998-07-26
204,874993;264,87499;other;1998-07-26
324,874986;304,87501;other;1998-07-26
194,914982;214,87502;accident;1998-07-26
325,074861; 74,87501;accident;1998-07-27
 34,874989;204,87499;accident;1998-07-27
294,874988;344,87500;accident;1998-07-28
 94,994911;264,87499;accident;1998-07-28
 84,994925;244,87502;intentional;1998-07-28
104,914987; 94,87499;accident;1998-07-29
115,114848; 94,87499;accident;1998-07-29
274,875016;194,87501;accident;1998-07-29
184,874981;364,87501;other;1998-07-29
304,875014;344,87500;accident;1998-07-29
 74,954964;234,87499;other;1998-07-29
194,954957;214,87502;accident;1998-07-29
 54,954952;244,87502;accident;1998-07-29
254,875003; 94,87499;accident;1998-07-30
 94,914961; 64,87499;accident;1998-07-30
 64,874988;154,87498;accident;1998-07-30
174,874995;354,87498;accident;1998-07-30
294,914963;344,87500;accident;1998-07-30
254,875003;334,87497;accident;1998-07-30
224,875005;294,87499;other;1998-07-30
314,875000;304,87501;accident;1998-07-30
 54,914977;204,87499;intentional;1998-07-30
104,914987;254,87500;accident;1998-07-30
374,874997;114,87500;accident;1998-07-31
264,874990; 94,87499;accident;1998-07-31
204,946948;114,87500;intentional;1998-07-31
104,954962;254,87500;accident;1998-07-31
 54,954952;204,87499;accident;1998-07-31
324,874986; 74,87501;intentional;1998-08-03
 64,914963;164,87501;accident;1998-08-03
304,875014; 74,87501;accident;1998-08-04
154,874983;224,87501;accident;1998-08-05
284,875002;184,87498;intentional;1998-08-07
244,914992;354,87498;other;1998-08-07
204,874993;194,87501;other;1998-08-07
 14,914992;224,87501;intentional;1998-08-07
154,874983;104,87501;other;1998-08-08
204,874993;284,87500;accident;1998-08-08
175,034895;234,87499;intentional;1998-08-08
124,954934;224,87501;accident;1998-08-08
 54,994927;244,87502;other;1998-08-08
155,074858;154,87498;intentional;1998-08-09
174,874995; 84,87500;other;1998-08-09
194,946962; 94,87499;other;1998-08-09
174,874995;164,87501;intentional;1998-08-09
324,954936;254,87500;other;1998-08-09
194,994932;304,87501;other;1998-08-09
214,875019;274,87502;accident;1998-08-09
195,074882;214,87502;accident;1998-08-09
195,114857;214,87502;accident;1998-08-09
 65,114838;244,87502;accident;1998-08-10
264,874990; 54,87500;lightning;1998-08-13
274,875016; 34,87499;lightning;1998-08-13
254,994928; 64,87499;lightning;1998-08-13
374,914972;114,87500;intentional;1998-08-13
 44,875016;124,87498;lightning;1998-08-13
284,954952;264,87499;lightning;1998-08-13
274,875016;244,87502;lightning;1998-08-13
254,875003;354,87498;accident;1998-08-13
 84,875000;224,87501;accident;1998-08-13
255,034904; 64,87499;lightning;1998-08-14
255,074879; 64,87499;lightning;1998-08-14
274,914991;244,87502;lightning;1998-08-14
284,875002;314,87500;accident;1998-08-14
274,875016;314,87500;lightning;1998-08-14
274,914991; 84,87500;lightning;1998-08-15
374,954947;114,87500;lightning;1998-08-15
264,914965;314,87500;accident;1998-08-15
184,914956;374,87500;other;1998-08-15
194,914982;324,87499;accident;1998-08-15
245,034917;354,87498;lightning;1998-08-15
374,994922;114,87500;lightning;1998-08-16
284,914977;114,87500;accident;1998-08-16
175,034895;104,87501;other;1998-08-16
 64,914963; 94,87499;other;1998-08-16
294,874988;274,87502;lightning;1998-08-16
244,875017;274,87502;lightning;1998-08-16
284,914977;244,87502;lightning;1998-08-16
234,954941;304,87501;lightning;1998-08-16
264,914965;304,87501;accident;1998-08-16
284,914977;334,87497;lightning;1998-08-16
 95,034886;264,87499;lightning;1998-08-16
284,875002; 54,87500;lightning;1998-08-17
264,914965; 54,87500;lightning;1998-08-17
154,914958;104,87501;intentional;1998-08-17
284,954952;304,87501;lightning;1998-08-17
284,914977;344,87500;lightning;1998-08-17
194,875007;364,87501;lightning;1998-08-17
294,874988;324,87499;lightning;1998-08-17
164,875009;214,87502;lightning;1998-08-17
364,875010;154,87498;lightning;1998-08-18
284,882997;184,87498;other;1998-08-18
254,875003;174,87499;accident;1998-08-18
284,954952;344,87500;lightning;1998-08-18
284,994927;344,87500;lightning;1998-08-18
 54,946957;214,87502;accident;1998-08-18
284,994927;304,87501;lightning;1998-08-19
274,875016;324,87499;accident;1998-08-19
184,874981;354,87498;lightning;1998-08-19
115,234773; 94,87499;intentional;1998-08-20
304,875014;244,87502;lightning;1998-08-20
194,954957;304,87501;lightning;1998-08-20
 64,994913;254,87500;intentional;1998-08-20
 55,034902;244,87502;accident;1998-08-20
 14,954967;224,87501;accident;1998-08-20
115,274748; 94,87499;accident;1998-08-21
274,954966;244,87502;lightning;1998-08-21
324,874986;214,87502;lightning;1998-08-21
274,914991;314,87500;accident;1998-08-21
274,954966;314,87500;accident;1998-08-21
 14,994942;224,87501;accident;1998-08-21
224,914980;294,87499;other;1998-08-22
104,875012;244,87502;other;1998-08-23
144,874997;224,87501;accident;1998-08-23
134,875010;234,87499;intentional;1998-08-23
204,914968;374,87500;accident;1998-08-24
294,874988; 54,87500;accident;1998-08-25
154,954933;154,87498;intentional;1998-08-25
204,874993;324,87499;accident;1998-08-25
325,154811; 74,87501;lightning;1998-08-26
324,874986; 84,87500;lightning;1998-08-26
304,994939; 74,87501;lightning;1998-08-26
314,875000;244,87502;lightning;1998-08-26
174,994920;334,87497;lightning;1998-08-26
304,875014;304,87501;lightning;1998-08-26
294,874988;314,87500;lightning;1998-08-26
114,874998;214,87502;other;1998-08-26
284,886994;184,87498;intentional;1998-08-27
204,874993;354,87498;lightning;1998-08-27
184,874981;344,87500;lightning;1998-08-27
234,874991;324,87499;lightning;1998-08-27
264,874990;354,87498;lightning;1998-08-27
 85,074875;244,87502;intentional;1998-08-27
 54,954952;234,87499;intentional;1998-08-27
194,994932;214,87502;intentional;1998-08-28
164,914984;214,87502;other;1998-08-28
274,914991; 34,87499;lightning;1998-08-29
274,954966; 34,87499;lightning;1998-08-29
175,074870;104,87501;intentional;1998-08-29
284,954952;244,87502;intentional;1998-08-29
334,954922;184,87498;other;1998-08-29
 64,954938;164,87501;other;1998-08-30
154,994908;154,87498;intentional;1998-08-30
174,874995;324,87499;other;1998-08-30
134,954960;194,87501;accident;1998-08-30
224,994930;364,87501;accident;1998-08-31
214,914994;364,87501;accident;1998-08-31
204,954943;194,87501;other;1998-08-31
 24,898988;234,87499;accident;1998-08-31
244,875017;234,87499;other;1998-09-03
304,914989; 74,87501;intentional;1998-09-04
194,875007;174,87499;accident;1998-09-07
114,994923; 94,87499;other;1998-09-07
344,874998;224,87501;accident;1998-09-08
 85,034900;244,87502;intentional;1998-09-08
334,914548;164,87501;accident;1998-09-09
204,874993;144,87500;other;1998-09-09
244,875017;164,87501;accident;1998-09-09
304,875014;214,87502;accident;1998-09-09
274,435291;324,87499;accident;1998-09-09
195,154832;214,87502;accident;1998-09-09
174,874995;204,87499;accident;1998-09-09
 94,874986;244,87502;other;1998-09-09
 15,034917;224,87501;other;1998-09-09
124,914959;254,87500;other;1998-09-09
 54,994927;234,87499;accident;1998-09-09
 94,874986;194,87501;accident;1998-09-09
144,874997;204,87499;accident;1998-09-09
265,034890; 54,87500;other;1998-09-11
324,874986;154,87498;accident;1998-09-13
155,194783;154,87498;intentional;1998-09-13
134,875010;124,87498;intentional;1998-09-13
234,994916;304,87501;other;1998-09-13
175,194795;234,87499;accident;1998-09-13
174,874995;154,87498;intentional;1998-09-14
245,114867;354,87498;intentional;1998-09-14
 65,074863;244,87502;accident;1998-09-14
144,914972;204,87499;accident;1998-09-14
184,914956;194,87501;accident;1998-09-14
134,914985;234,87499;accident;1998-09-14
334,994897;184,87498;other;1998-09-15
184,914956;344,87500;accident;1998-09-15
 64,874988;224,87501;accident;1998-09-15
324,914961;184,87498;other;1998-09-16
114,914973;244,87502;accident;1998-09-16
154,954933;174,87499;accident;1998-09-16
135,074885;194,87501;accident;1998-09-16
274,954966; 84,87500;accident;1998-09-17
 64,994913;164,87501;intentional;1998-09-17
214,914994;284,87500;intentional;1998-09-17
285,034902;344,87500;other;1998-09-17
224,875005;334,87497;accident;1998-09-17
 54,954952;254,87500;other;1998-09-17
 74,875014;254,87500;other;1998-09-17
174,874995; 94,87499;accident;1998-09-18
245,154842;354,87498;intentional;1998-09-18
 94,914961;244,87502;other;1998-09-18
165,034909;154,87498;intentional;1998-09-19
314,875000;204,87499;other;1998-09-19
234,954941;254,87500;accident;1998-09-19
204,954943;274,87502;accident;1998-09-19
 24,902986;234,87499;accident;1998-09-19
214,914994;274,87502;accident;1998-09-20
 24,906983;234,87499;other;1998-09-20
 54,994927;204,87499;accident;1998-09-20
175,274745;234,87499;other;1998-09-20
194,875007;374,87500;accident;1998-09-21
324,874986;244,87502;accident;1998-09-24
334,874972;234,87499;lightning;1998-09-24
264,874990; 84,87500;intentional;1998-09-25
244,875017;264,87499;accident;1998-09-25
264,914965; 84,87500;intentional;1998-09-26
264,954940; 54,87500;accident;1998-09-26
284,994927;264,87499;accident;1998-09-30
194,914982;174,87499;accident;1998-10-07
204,934956; 84,87500;accident;1998-10-07
115,034898; 94,87499;other;1998-10-07
 94,874986;184,87498;accident;1998-10-07
174,994920;104,87501;intentional;1998-10-08
154,914958;154,87498;intentional;1998-10-08
254,875003;304,87501;accident;1998-10-08
154,994908;224,87501;accident;1998-10-08
274,875016;294,87499;accident;1998-10-09
155,114833;154,87498;intentional;1998-10-09
244,875017;214,87502;accident;1998-10-09
 54,914977;214,87502;accident;1998-10-09
 65,034888;244,87502;other;1998-10-09
144,914972;234,87499;accident;1998-10-09
195,194807;214,87502;intentional;1998-10-09
 44,875016;194,87501;accident;1998-10-09
334,914947;224,87501;accident;1998-10-13
304,914989;214,87502;accident;1998-10-17
 95,194786;264,87499;other;1998-10-19
275,034916; 84,87500;accident;1998-10-21
264,954940; 84,87500;intentional;1998-10-21
264,994915; 84,87500;intentional;1998-10-22
265,034890; 84,87500;intentional;1998-10-24
294,914963; 54,87500;accident;1998-10-24
305,034914; 74,87501;intentional;1998-10-25
265,074865; 84,87500;intentional;1998-10-26
265,114840; 84,87500;intentional;1998-10-26
264,994915; 54,87500;accident;1998-10-27
265,154815; 84,87500;intentional;1998-10-27
324,954936;204,87499;accident;1998-10-28
244,914992;274,87502;accident;1998-10-29
 84,914975;194,87501;intentional;1998-10-30
324,914961;174,87499;accident;1998-10-31
344,874998;214,87502;accident;1998-10-31
 84,875000;244,87502;intentional;1998-11-07
134,875010;144,87500;other;1998-11-08
184,874981;374,87500;lightning;1998-11-08
174,954945;334,87497;intentional;1998-11-08
244,994942;354,87498;accident;1998-11-08
134,954960;254,87500;accident;1998-11-08
155,154808;154,87498;intentional;1998-11-09
164,954959;154,87498;intentional;1998-11-09
164,994934;154,87498;intentional;1998-11-09
224,914980;274,87502;intentional;1998-11-09
214,875019;284,87500;other;1998-11-09
194,954957;324,87499;accident;1998-11-09
184,874981;194,87501;accident;1998-11-09
 95,154811;254,87500;accident;1998-11-09
 15,074892;224,87501;other;1998-11-09
104,994937;254,87500;accident;1998-11-09
 95,154811;264,87499;accident;1998-11-10
344,914973;154,87498;accident;1998-11-17
324,914961;194,87501;other;1998-11-22
265,074865; 54,87500;accident;1998-11-25
344,954948;154,87498;accident;1998-11-25
344,914973;214,87502;other;1998-11-29
294,874988;304,87501;accident;1998-12-03
 54,875002;124,87498;other;1998-12-06
104,875012; 94,87499;other;1998-12-07
254,875003;204,87499;other;1998-12-07
204,874993;374,87500;accident;1998-12-07
 54,875002;204,87499;other;1998-12-07
304,875014;164,87501;intentional;1998-12-08
324,914961;254,87500;lightning;1998-12-08
204,874993;344,87500;accident;1998-12-08
254,914978;344,87500;lightning;1998-12-08
234,914966;294,87499;intentional;1998-12-08
114,874998;244,87502;accident;1998-12-08
134,914985;204,87499;intentional;1998-12-08
114,914973;214,87502;accident;1998-12-09
274,994941;244,87502;accident;1998-12-16
244,875017; 74,87501;other;1998-12-22
265,274740; 84,87500;intentional;1998-12-28
 64,914963;204,87499;accident;1999-01-02
324,994911;244,87502;accident;1999-01-03
255,194804; 64,87499;accident;1999-01-05
354,874984;214,87502;lightning;1999-01-05
284,882997; 54,87500;lightning;1999-01-06
334,874972;194,87501;accident;1999-01-06
344,914973;204,87499;lightning;1999-01-06
325,074861;204,87499;lightning;1999-01-06
344,994923;214,87502;accident;1999-01-07
234,954941;294,87499;accident;1999-01-07
195,034907;304,87501;accident;1999-01-07
 64,954938; 94,87499;accident;1999-01-08
 65,154813;254,87500;accident;1999-01-08
135,074885;254,87500;accident;1999-01-08
324,914961; 84,87500;lightning;1999-01-09
144,914972;154,87498;other;1999-01-09
285,354702;304,87501;lightning;1999-01-09
284,875002;214,87502;lightning;1999-01-09
285,434652;244,87502;lightning;1999-01-09
265,034890;304,87501;lightning;1999-01-09
235,074866;304,87501;lightning;1999-01-09
254,875003;324,87499;lightning;1999-01-09
265,074865;304,87501;lightning;1999-01-09
285,394677;344,87500;accident;1999-01-09
265,114840;304,87501;lightning;1999-01-09
244,994942;324,87499;lightning;1999-01-09
225,074880;274,87502;lightning;1999-01-09
254,914978;304,87501;lightning;1999-01-09
195,114857;234,87499;other;1999-01-09
 84,994925;194,87501;lightning;1999-01-09
 24,914978;224,87501;lightning;1999-01-09
214,954969;284,87500;other;1999-01-16
275,034916; 34,87499;other;1999-01-21
285,074877;344,87500;other;1999-01-21
324,914961;244,87502;accident;1999-01-30
273,995566;324,87499;other;1999-01-30
164,875009;174,87499;accident;1999-02-02
264,874990;334,87497;other;1999-02-03
284,886994; 54,87500;lightning;1999-02-06
304,954964;214,87502;lightning;1999-02-06
204,954943;304,87501;other;1999-02-06
284,898987;184,87498;other;1999-02-07
124,874984;214,87502;other;1999-02-07
 55,034902;234,87499;accident;1999-02-07
114,954948;214,87502;other;1999-02-07
285,034902;324,87499;lightning;1999-02-08
 95,034886;184,87498;intentional;1999-02-08
314,994925;244,87502;lightning;1999-02-09
304,914989;224,87501;lightning;1999-02-09
272,236666;324,87499;lightning;1999-02-09
245,434667;354,87498;accident;1999-02-10
325,194786; 74,87501;other;1999-02-15
265,114840; 54,87500;accident;1999-02-16
305,074889; 74,87501;accident;1999-02-17
354,914959;234,87499;accident;1999-02-18
324,994911;204,87499;accident;1999-02-18
 65,034888;254,87500;intentional;1999-02-18
244,994942; 74,87501;accident;1999-02-19
 75,034914;134,87501;accident;1999-02-19
354,874984;164,87501;accident;1999-02-20
244,994942;274,87502;accident;1999-02-20
324,954936;244,87502;accident;1999-02-20
 95,274736;264,87499;accident;1999-02-20
 95,314711;264,87499;accident;1999-02-20
344,954948;224,87501;accident;1999-02-21
244,914992;314,87500;accident;1999-02-23
245,234792;354,87498;other;1999-02-23
245,274767;354,87498;other;1999-02-23
325,234761; 74,87501;accident;1999-02-24
294,874988; 64,87499;accident;1999-02-24
244,914992;214,87502;accident;1999-02-26
264,914965;294,87499;accident;1999-02-28
284,994927;244,87502;accident;1999-03-02
274,875016;334,87497;accident;1999-03-02
224,914980;374,87500;other;1999-03-02
274,914991;334,87497;accident;1999-03-02
249,788984;236,30102;accident;1999-03-03
265,154815; 54,87500;accident;1999-03-04
 54,875002;174,87499;accident;1999-03-04
 65,074863;254,87500;accident;1999-03-04
254,954953;344,87500;other;1999-03-07
254,942002;236,58400;accident;1999-03-08
304,954964;224,87501;lightning;1999-03-09
284,954952;334,87497;other;1999-03-18
354,954934;234,87499;accident;1999-03-19
314,875000;344,87500;accident;1999-03-20
294,914963;324,87499;other;1999-03-20
284,994927;334,87497;accident;1999-03-20
214,875019;344,87500;accident;1999-03-21
344,954948;214,87502;accident;1999-03-22
285,114852;344,87500;accident;1999-03-26
194,994932;174,87499;other;1999-03-29
249,828959;236,30102;accident;1999-03-29
264,914965;354,87498;accident;1999-03-29
 94,954936; 64,87499;accident;1999-03-31
244,954967; 74,87501;accident;1999-04-02
204,954943;334,87497;intentional;1999-04-02
204,874993;364,87501;other;1999-04-02
245,194817;354,87498;accident;1999-04-02
244,914992;324,87499;accident;1999-04-02
345,034898;154,87498;accident;1999-04-04
144,954947;204,87499;accident;1999-04-04
 84,875000;234,87499;accident;1999-04-04
274,914991;294,87499;other;1999-04-07
254,954953; 74,87501;other;1999-04-07
 74,954964;134,87501;accident;1999-04-07
204,874993;234,87499;other;1999-04-07
 44,954966;194,87501;accident;1999-04-08
145,034897;204,87499;other;1999-04-08
 85,234775;244,87502;other;1999-04-08
255,274754; 64,87499;lightning;1999-04-09
284,894989; 54,87500;lightning;1999-04-09
284,898987; 54,87500;lightning;1999-04-09
184,874981;124,87498;other;1999-04-09
285,474627;244,87502;lightning;1999-04-09
294,914963;254,87500;lightning;1999-04-09
285,514602;244,87502;lightning;1999-04-09
285,394677;304,87501;lightning;1999-04-09
345,074873;204,87499;lightning;1999-04-09
304,914989;184,87498;lightning;1999-04-09
225,114855;274,87502;lightning;1999-04-09
114,914973; 84,87500;accident;1999-04-13
335,074847;184,87498;accident;1999-04-13
275,154841; 84,87500;accident;1999-04-14
294,954938;204,87499;accident;1999-04-14
 81,122986;191,94000;accident;1999-04-14
 85,114850;244,87502;accident;1999-04-15
255,114854; 64,87499;accident;1999-04-19
294,874988; 74,87501;accident;1999-04-19
114,874998; 74,87501;accident;1999-04-19
224,875005; 94,87499;other;1999-04-19
325,034886;244,87502;accident;1999-04-19
255,154829; 64,87499;intentional;1999-04-20
324,914961;214,87502;accident;1999-04-20
325,034886;204,87499;accident;1999-04-22
344,874998;204,87499;intentional;1999-04-22
 65,114838;254,87500;other;1999-04-23
194,875007;164,87501;intentional;1999-04-24
 34,914965;204,87499;accident;1999-04-24
314,875000;144,87500;other;1999-04-25
294,914963; 64,87499;accident;1999-04-25
134,914985;144,87500;other;1999-04-25
344,874998;234,87499;accident;1999-04-26
244,875017; 84,87500;accident;1999-05-02
324,994911;254,87500;accident;1999-05-02
314,914975;244,87502;accident;1999-05-02
234,994916;254,87500;intentional;1999-05-02
304,914989;304,87501;intentional;1999-05-02
304,954964;304,87501;intentional;1999-05-02
194,914982;374,87500;accident;1999-05-04
214,875019;254,87500;accident;1999-05-07
273,555841;324,87499;lightning;1999-05-07
184,874981;304,87501;accident;1999-05-07
285,074877;334,87497;lightning;1999-05-07
345,034898;204,87499;other;1999-05-08
285,314727;244,87502;other;1999-05-08
214,954969;364,87501;other;1999-05-08
224,954955;294,87499;accident;1999-05-08
105,074887;254,87500;accident;1999-05-08
345,074873;154,87498;accident;1999-05-10
284,875002;174,87499;other;1999-05-13
